 INFO  Accepting connections at http://localhost:3000
 HTTP  8/30/2026 5:07:33 PM ::1 GET /about
 HTTP  8/30/2026 5:07:33 PM ::1 Returned 200 in 25 ms
 HTTP  8/30/2026 5:07:57 PM ::1 GET /
 HTTP  8/30/2026 5:07:57 PM ::1 Returned 200 in 11 ms
 HTTP  8/30/2026 5:07:57 PM ::1 GET /
 HTTP  8/30/2026 5:07:57 PM ::1 Returned 200 in 2 ms
 HTTP  8/30/2026 5:07:57 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:07:57 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:07:57 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:07:57 PM ::1 Returned 304 in 9 ms
 HTTP  8/30/2026 5:08:01 PM ::1 GET /about
 HTTP  8/30/2026 5:08:01 PM ::1 Returned 200 in 4 ms
 HTTP  8/30/2026 5:08:01 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:08:01 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:08:01 PM ::1 Returned 304 in 5 ms
 HTTP  8/30/2026 5:08:01 PM ::1 Returned 304 in 4 ms
 HTTP  8/30/2026 5:08:10 PM ::1 GET /privacy
 HTTP  8/30/2026 5:08:10 PM ::1 Returned 200 in 4 ms
 HTTP  8/30/2026 5:08:10 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:08:10 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:22 PM ::1 GET /compare
 HTTP  8/30/2026 5:08:22 PM ::1 Returned 200 in 5 ms
 HTTP  8/30/2026 5:08:22 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:08:22 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:08:22 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:22 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:37 PM ::1 GET /history
 HTTP  8/30/2026 5:08:37 PM ::1 Returned 200 in 5 ms
 HTTP  8/30/2026 5:08:37 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:08:37 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:08:37 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:37 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:47 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:08:47 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:08:47 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:08:47 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:09:55 PM ::1 GET /analyze
 HTTP  8/30/2026 5:09:55 PM ::1 Returned 200 in 30 ms
 HTTP  8/30/2026 5:09:55 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:09:55 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:09:55 PM ::1 Returned 304 in 4 ms
 HTTP  8/30/2026 5:09:55 PM ::1 Returned 304 in 3 ms
 HTTP  8/30/2026 5:09:56 PM ::1 GET /compare
 HTTP  8/30/2026 5:09:56 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:09:56 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:09:56 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:09:56 PM ::1 Returned 304 in 1 ms
 HTTP  8/30/2026 5:09:56 PM ::1 Returned 304 in 0 ms
 HTTP  8/30/2026 5:09:57 PM ::1 GET /history
 HTTP  8/30/2026 5:09:57 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:09:57 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:09:57 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:09:57 PM ::1 Returned 304 in 1 ms
 HTTP  8/30/2026 5:09:57 PM ::1 Returned 304 in 1 ms
 HTTP  8/30/2026 5:10:01 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:10:01 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:10:01 PM ::1 Returned 304 in 3 ms
 HTTP  8/30/2026 5:10:01 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:10:57 PM ::1 GET /history
 HTTP  8/30/2026 5:10:57 PM ::1 Returned 304 in 0 ms
 HTTP  8/30/2026 5:10:57 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:10:57 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:10:57 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:10:57 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:13:09 PM ::1 GET /history
 HTTP  8/30/2026 5:13:09 PM ::1 Returned 200 in 4 ms
 HTTP  8/30/2026 5:13:09 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:13:09 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:13:09 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:13:09 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:13:30 PM ::1 GET /history
 HTTP  8/30/2026 5:13:30 PM ::1 Returned 304 in 2 ms
 HTTP  8/30/2026 5:13:30 PM ::1 GET /static/logo.png
 HTTP  8/30/2026 5:13:30 PM ::1 GET /static/app.js
 HTTP  8/30/2026 5:13:30 PM ::1 Returned 304 in 4 ms
 HTTP  8/30/2026 5:13:30 PM ::1 Returned 304 in 3 ms
